"corpus","match_position","left context","match","right_context","thread_postcount","text_nk","thread_title","text_swefn","text_ovix","text_date","text_username","forum_title","forum_url","text_blingbring","thread_lastpost","thread_url","text_lix","text_url"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","26270684","Finns det konflikter och mobbning på arbetsplatsen som gör dig","ångestfylld","o sömnlös så spelar det ingen större roll vad man tjänar eller vilken position man har .","11","0.26","Fick inte jobbet så besviken","|Locale_by_collocation:123.803|Candidness:83.581|Waver_between_options:75.086|","58.41","2016-02-04 20:21:56","Teresa 914","Ekonomi & juridik > Ekonomi","http://www.familjeliv.se/forum/19/89","|andefattigdom:18.569|försök:14.288|tilltal:13.95|","2016-03-03 21:03:47","http://www.familjeliv.se/forum/thread/76303875-fick-inte-jobbet-sa-besviken","26.54","http://www.familjeliv.se/forum/thread/76303875-fick-inte-jobbet-sa-besviken/1#anchor-m1"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","27637505","Det har alltid varit en aning","ångestfyllt","att ta sig en dusch .","1","0.42","Möjligt få nedsatt hyra?","|Renting:154.737|Grooming:137.967|Temperature:54.131|","53.26","2010-04-29 20:27:28","Drömmar på landet","Ekonomi & juridik > Ekonomi","http://www.familjeliv.se/forum/19/89","|likgiltighet:68.813|indifferens:63.612|hjärtlöshet:25.909|","2010-04-29 20:27:28","http://www.familjeliv.se/forum/thread/52262358-mojligt-fa-nedsatt-hyra","25.76","http://www.familjeliv.se/forum/thread/52262358-mojligt-fa-nedsatt-hyra/1"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","29198561","Inte verkade hon särskild","ångestfylld",", inte verkade det som hon hade borderline el .","18","0.47","lyxfällan repris idag?","|Coincidence:85.745|Medical_disorders:67.288|Accoutrements:26.373|","63.04","2010-12-18 23:05:34","far","Ekonomi & juridik > Ekonomi","http://www.familjeliv.se/forum/19/89","|förbannelse:31.381|strävhet i smak:17.207|ohälsa:15.91|","2010-12-18 23:49:26","http://www.familjeliv.se/forum/thread/56104955-lyxfallan-repris-idag","29.63","http://www.familjeliv.se/forum/thread/56104955-lyxfallan-repris-idag/2#anchor-m14"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","36726185","Mycket motvilligt och","ångestfyllt","arbetslös .","135","0.00","Vad har du för månadslön före skatt?","|Degree:45.844|","inf","2013-06-28 00:51:45","LunaLunatic","Ekonomi & juridik > Ekonomi","http://www.familjeliv.se/forum/19/89","|repulsion:442.477|ovänskap:288.119|förkastelse:281.199|","2013-08-19 08:21:25","http://www.familjeliv.se/forum/thread/70160556-vad-har-du-for-manadslon-fore-skatt","65.00","http://www.familjeliv.se/forum/thread/70160556-vad-har-du-for-manadslon-fore-skatt/11#anchor-m108"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","40418627","Det här blev riktigt","ångestfyllt",".","7","0.71","Är en båt viktigere än barnen?","|Billing:154.249|Temporary_leave:79.9|Evading:58.434|","51.71","2009-11-02 11:32:42","Sara35","Ekonomi & juridik > Ekonomi","http://www.familjeliv.se/forum/19/89","|dyrhet:27.507|måttlighet:25.474|sparsamhet:25.174|","2009-11-02 12:32:31","http://www.familjeliv.se/forum/thread/48394567-ar-en-bat-viktigere-an-barnen","39.72","http://www.familjeliv.se/forum/thread/48394567-ar-en-bat-viktigere-an-barnen/1#anchor-m5"
"Familjeliv: Allmänna rubriker – Familjeliv.se","4324449","Ett exempel som jag tänker på är en tråd där ts sökt hjälp och råd inför beslutet att göra en abort eller ej , och sedan efter några dagars","ångestfyllda","diskussioner kommit fram till att göra aborten .","25","0.86","Förbättra familjeliv tack!","|Undergoing:412.729|Expressing_publicly:226.016|Connectors:155.901|","86.35","2006-04-08 22:14:46","Isolde","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|smalhet:33.48|sakfällande:30.0|korsning:29.223|","2006-04-28 03:00:30","http://www.familjeliv.se/forum/thread/8520121-forbattra-familjeliv-tack","43.31","http://www.familjeliv.se/forum/thread/8520121-forbattra-familjeliv-tack/1#anchor-m8"
"Familjeliv: Allmänna rubriker – Familjeliv.se","6074022","Den personen trevar frenetiskt i mörker i en","ångestfylld","jakt efter att hävda sig mot mig eftersom denne inte hittar bättre argument .","32","0.68","Varför är någon medlem på FL om dom bara ska jävlas?","|Lively_place:460.486|Indigenous_origin:162.025|Hunting:85.989|","51.01","2008-12-07 00:14:41","Funkyiore","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|dumhuvud:215.883|sötma:127.448|oförnuft:109.966|","2008-12-07 21:27:39","http://www.familjeliv.se/forum/thread/39067699-varfor-ar-nagon-medlem-pa-fl-om-dom-bara-ska-javlas","32.08","http://www.familjeliv.se/forum/thread/39067699-varfor-ar-nagon-medlem-pa-fl-om-dom-bara-ska-javlas/3#anchor-m25"
"Familjeliv: Allmänna rubriker – Familjeliv.se","8520424","Att man blir","ångestfylld","och rädd ?","2","0.56","Fler som är förkylda & rädda för att ha Corona?","|Waking_up:265.554|Cause_bodily_experience:236.97|Fear:135.746|","62.14","2020-04-26 12:23:15","Kenya","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|känsel:48.506|friktion:47.51|lukt:43.737|","2020-04-26 12:34:04","http://www.familjeliv.se/forum/thread/80361412-fler-som-ar-forkylda-radda-for-att-ha-corona","21.09","http://www.familjeliv.se/forum/thread/80361412-fler-som-ar-forkylda-radda-for-att-ha-corona/1"
"Familjeliv: Allmänna rubriker – Familjeliv.se","8605444","Jag är inte säker på att hon hade ont , däremot måste det ju vara","ångestfyllt","att hyperventilera i så många timmar .","8","0.41","Min Mamma låg för döden, gav dom för mycket morfin?","|Being_awake:182.947|Activity_ready_state:145.36|Breathing:92.202|","57.91","2014-12-01 14:56:22","Kakan71k","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|fåfänga:57.363|olärd:32.454|vårdslöshet:23.88|","2014-12-02 10:23:15","http://www.familjeliv.se/forum/thread/74424128-min-mamma-lag-for-doden-gav-dom-for-mycket-morfin","39.40","http://www.familjeliv.se/forum/thread/74424128-min-mamma-lag-for-doden-gav-dom-for-mycket-morfin/1#anchor-m3"
"Familjeliv: Allmänna rubriker – Familjeliv.se","10104268","Jag är 21 och inget körkort och mina syskon är små och det har alltid hängt på mig men eftersom jag just nu är påse deprimerad och","ångestfylld","så vet jag att jag inte klarar det även om jag vill .","5","0.29","Ledsen ångest-tjej","|Being_located:106.045|Custom:82.384|Documents:64.136|","51.10","2020-10-27 20:38:06","Metalbrutta","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|beständighet:40.209|religionsurkund:20.894|likformighet:18.035|","2020-10-27 20:54:51","http://www.familjeliv.se/forum/thread/80732835-ledsen-angest-tjej","27.61","http://www.familjeliv.se/forum/thread/80732835-ledsen-angest-tjej/1#anchor-m2"
"Familjeliv: Allmänna rubriker – Familjeliv.se","10244464","Jag är 21 och inget körkort och mina syskon är små och det har alltid hängt på mig men eftersom jag just nu är påse deprimerad och","ångestfylld","så vet jag att jag inte klarar det även om jag vill .","5","0.29","Ledsen ångest-tjej","|Being_located:106.045|Custom:82.384|Documents:64.136|","51.10","2020-10-27 20:38:56","Metalbrutta","Familjeliv.se > Familjeliv - sajten","http://www.familjeliv.se/forum/20/163","|beständighet:40.209|religionsurkund:20.894|likformighet:18.035|","2020-10-27 20:54:51","http://www.familjeliv.se/forum/thread/80732835-ledsen-angest-tjej","27.61","http://www.familjeliv.se/forum/thread/80732835-ledsen-angest-tjej/1#anchor-m3"
"Familjeliv: Allmänna rubriker – Familjeliv.se","11075055","Jag måste berätta om min lätt","ångestfyllda","lunch igår ...","102","0.36","Whiskytråd","|Speak_on_topic:116.498|Perception_body:44.381|Sounds:43.089|","48.37","2007-01-17 09:59:44","Danbala","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|dunkel:51.281|tilltäppningsmedel:24.523|talträngdhet:14.096|","2007-04-05 21:51:30","http://www.familjeliv.se/forum/thread/16297516-whiskytrad","23.60","http://www.familjeliv.se/forum/thread/16297516-whiskytrad/3#anchor-m24"
"Familjeliv: Allmänna rubriker – Familjeliv.se","13116590","Men i många fall hjälper det inte .. och har man aldrig vart i denna situation då amningen verkligen blir ett problem som tar över alla njutningstillfällen i vardagen och gör dem till en","ångestfylld","kamp om vad som är rätt och fel kan det vara svårt att förstå .","81","0.59","Av vilken anledning lägger du dig i om kvinnor ammar sina barn eller inte?","|Providing_food:1831.501|Prevent_from_having:349.727|Take_place_of:76.655|","57.79","2008-08-26 21:08:39","En lyckans tår i månens sken","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|stank:34.814|surrogat:22.099|optik:21.128|","2008-08-28 01:40:18","http://www.familjeliv.se/forum/thread/35609375-av-vilken-anledning-lagger-du-dig-i-om-kvinnor-ammar-sina-barn-eller-inte","38.45","http://www.familjeliv.se/forum/thread/35609375-av-vilken-anledning-lagger-du-dig-i-om-kvinnor-ammar-sina-barn-eller-inte/8#anchor-m73"
"Familjeliv: Allmänna rubriker – Familjeliv.se","13193960","Det är ju en sak att skriva : jag hade en patient på avdelningen som dog igår och det var så hemskt i dödsögonblicket han skrek rakt ut att han var rädd och så vågade vi knappt ge nån emdicin , än att skriva : jag tycker det är jobbigt när vissa patientern dör , vissa är så","ångestfyllda","vilken typ av medicin brukar ni ge på er avdelning för att lindra ångesten ?","19","0.57","Vårdpersonal hit!ang sekretesslagen","|People_by_disease:174.551|Predicament:151.984|Medical_disorders:41.648|","58.46","2010-02-07 16:40:20","Champagne","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|vanprydnad:33.385|förtal:33.161|uttolkare:30.469|","2010-02-07 17:29:08","http://www.familjeliv.se/forum/thread/50588633-vardpersonal-hitang-sekretesslagen","57.06","http://www.familjeliv.se/forum/thread/50588633-vardpersonal-hitang-sekretesslagen/1#anchor-m9"
"Familjeliv: Allmänna rubriker – Familjeliv.se","13453271","Man kan även ta sig en titt på hur en f.d anorektiker beter sig när hon äter , ser hon","ångestfylld","ut ?","5","0.38","finns det någon pro ana här??","|Conduct:194.116|Recovery:155.589|Emotions_by_stimulus:82.72|","54.18","2009-04-18 14:35:13","Gravid 89","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|vettvilling:61.414|stympare:31.931|inrymning:21.837|","2009-04-18 14:35:13","http://www.familjeliv.se/forum/thread/43192875-finns-det-nagon-pro-ana-har","28.00","http://www.familjeliv.se/forum/thread/43192875-finns-det-nagon-pro-ana-har/1#anchor-m4"
"Familjeliv: Allmänna rubriker – Familjeliv.se","15440376","Jag har alltid varit en ganska","ångestfylld","person men allt blev värre efter att min farmor gick bort 2017 .","5","0.27","Oro för att nära kära ska dö","|Sleep:40.309|Ride_vehicle:19.42|Point_of_dispute:17.009|","53.83","2019-02-01 02:57:15","Katarina123","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|blindhet:33.458|åldring:30.707|tungsinthet:20.029|","2019-02-01 06:28:23","http://www.familjeliv.se/forum/thread/79409723-oro-for-att-nara-kara-ska-do","19.00","http://www.familjeliv.se/forum/thread/79409723-oro-for-att-nara-kara-ska-do/1"
"Familjeliv: Allmänna rubriker – Familjeliv.se","16082700","DET i sig är inte störande ... men att träffa hans häxa till ex gör mig illamående och","ångestfylld","... ligger i bitter vårdnadstvist med henne .","16","0.74","va sitter du o tänker på just idag som stör dig mest?","|Sex:366.99|Temporary_leave:273.34|Meet_with:153.725|","97.00","2008-06-17 09:21:02","Nyfiken gul","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|siare:985.727|magiker:171.395|usling:92.694|","2008-06-17 17:09:17","http://www.familjeliv.se/forum/thread/33692491-va-sitter-du-o-tanker-pa-just-idag-som-stor-dig-mest","30.58","http://www.familjeliv.se/forum/thread/33692491-va-sitter-du-o-tanker-pa-just-idag-som-stor-dig-mest/1#anchor-m1"
"Familjeliv: Allmänna rubriker – Familjeliv.se","17061560","Skulle aldrig vilja vara 20-25 år igen , och absolut inte tonåring för det var jätte","ångestfyllt","och allt var svart .","21","0.32","Varför är det hemskt att bli äldre?","|Stimulus_focus_negative:38.329|Feeling:25.691|Filling:19.248|","50.45","2005-10-18 02:25:06","Miss Daisy","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|frid:22.501|aldrig:21.761|vanprydnad:19.157|","2005-10-18 18:31:45","http://www.familjeliv.se/forum/thread/5102638-varfor-ar-det-hemskt-att-bli-aldre","17.61","http://www.familjeliv.se/forum/thread/5102638-varfor-ar-det-hemskt-att-bli-aldre/1#anchor-m7"
"Familjeliv: Allmänna rubriker – Familjeliv.se","18366324",":) Visst kan det vara skönt att vara ensam men jag föredrar nog ändå sällskap , blir så","ångestfyllt","att sitta ensam uppe på natten .","232","0.26","Fler som inte kan sova?","|Predicament:620.816|Partiality:226.658|Cause_to_wake:191.629|","98.31","2010-02-19 03:12:07","pyjamastrollet","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|celibat:142.577|okändhet:55.859|osällskaplighet:44.786|","2010-02-28 17:05:57","http://www.familjeliv.se/forum/thread/50863523-fler-som-inte-kan-sova","27.10","http://www.familjeliv.se/forum/thread/50863523-fler-som-inte-kan-sova/14#anchor-m133"
"Familjeliv: Allmänna rubriker – Familjeliv.se","19739713","Dessa perioder kan ju vara väldigt","ångestfyllda","för den lille .","231","0.64","Deluxepinglornas fristad - Apriltråden","|Health_response:571.217|Gathering_up:86.973|Timespan:47.997|","67.17","2006-04-25 18:24:37","Milpi","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|uttalsfel:24.037|blindhet:17.381|tyngd:14.078|","2006-05-05 14:17:56","http://www.familjeliv.se/forum/thread/8364561-deluxepinglornas-fristad-apriltraden","23.72","http://www.familjeliv.se/forum/thread/8364561-deluxepinglornas-fristad-apriltraden/17#anchor-m166"
"Familjeliv: Allmänna rubriker – Familjeliv.se","21142631","Jag sitter o lyssnar på lite musik o mailar med en vän ... Känner mig nere .. som vanligt på söndagar .. det e en","ångestfylld","dag .. så e det bara ... Borde packa , städa och en massa annat ... men det går bara inte ..","4433","0.48","jämtlandstråd :-)","|Communication_means:740.589|Path_shape:159.945|Familiarity:34.983|","70.59","2005-10-09 14:45:53","Nicki04","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|frid:60.581|ledighet:52.42|uttryckslöshet:40.598|","2005-12-10 16:50:46","http://www.familjeliv.se/forum/thread/4556372-jamtlandstrad","33.13","http://www.familjeliv.se/forum/thread/4556372-jamtlandstrad/208#anchor-m2073"
"Familjeliv: Allmänna rubriker – Familjeliv.se","30888096","men vill bara påpeka att jag aldrig sagt att troende är deprimerade och","ångestfyllda",".","524","0.26","""Bota homosexualitet med böner""","|Have_as_requirement:140.391|Usefulness:45.323|Proper_reference:23.419|","61.88","2006-03-21 11:49:45","Nype","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|själviskhet:31.257|omöjlighet:29.401|kreditväsen:28.571|","2006-03-29 23:54:32","http://www.familjeliv.se/forum/thread/8062140-bota-homosexualitet-med-boner","25.83","http://www.familjeliv.se/forum/thread/8062140-bota-homosexualitet-med-boner/12#anchor-m112"
"Familjeliv: Allmänna rubriker – Familjeliv.se","30934110","Vad jag menar är att bilden av kristna som deprimerade och","ångestfyllda","inte riktigt stämmer .","524","0.40","""Bota homosexualitet med böner""","|Misdeed:680.453|Breaking_out_captive:152.826|People_by_religion:96.907|","56.15","2006-03-21 11:14:44","Edie","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|irreligiositet:159.793|pliktförgätenhet:65.457|ögonsjuka:61.393|","2006-03-29 23:54:32","http://www.familjeliv.se/forum/thread/8062140-bota-homosexualitet-med-boner","26.68","http://www.familjeliv.se/forum/thread/8062140-bota-homosexualitet-med-boner/11#anchor-m110"
"Familjeliv: Allmänna rubriker – Familjeliv.se","31753324","Oftast har jag 130 dock eftersom jag är en","ångestfylld","jävel","23","0.33","Vad brukar DU ha i vilopuls?","|Concessive:63.61|Frequency:34.834|People:28.468|","61.52","2007-01-16 01:19:28","eisa","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|månggestaltning:99.967|motbevis:82.108|motverkan:56.326|","2007-01-16 02:04:08","http://www.familjeliv.se/forum/thread/16186026-vad-brukar-du-ha-i-vilopuls","29.18","http://www.familjeliv.se/forum/thread/16186026-vad-brukar-du-ha-i-vilopuls/1#anchor-m10"
"Familjeliv: Allmänna rubriker – Familjeliv.se","34531052","Det var min egen far som botade min nyfikenhet på alkohol , genom att visa med en redig praktfylla , med alla grader , pinsamt full , aspackad ,","ångestfylld",", och till slut krälande i sina egna spyor , spetsat med årets bakfylla dagen därpå , när han lovat oss barn att åka på utflykt till ett berg och grilla korv .","845","1.15","Skulle du tycka att det är okej att sitta på en uteservering med ett glas vin och ett barn som sover i vagnen?","|Cure_mod:700.953|Tolerating:113.46|Intoxicants:81.245|","76.66","2010-03-10 20:38:13","M Hellin","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|dryckenskap:47.852|osjälviskhet:33.386|bubbla:26.927|","2010-03-15 20:11:37","http://www.familjeliv.se/forum/thread/51283848-skulle-du-tycka-att-det-ar-okej-att-sitta-pa-en-uteservering-med-ett-glas-vin-och-ett-barn-som-sover-i-vagnen","45.84","http://www.familjeliv.se/forum/thread/51283848-skulle-du-tycka-att-det-ar-okej-att-sitta-pa-en-uteservering-med-ett-glas-vin-och-ett-barn-som-sover-i-vagnen/22#anchor-m220"
"Familjeliv: Allmänna rubriker – Familjeliv.se","34754784","Men det var ju såklart 100 ggr mer smidigt än att föda vaginalt , och inte alls lika jobbigt och","ångestfyllt",".","1597","0.32","Om du själv fick välja mellan att föda vaginalt eller med kejsarsnitt, vilket skulle du valt?","|Being_born:312.224|Choosing:41.627|Mental_property:21.182|","43.30","2010-11-09 12:29:13","frk Carlsson","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|utskärning:80.353|elasticitet:57.307|fruktbarhet:33.063|","2011-02-05 00:48:21","http://www.familjeliv.se/forum/thread/55480670-om-du-sjalv-fick-valja-mellan-att-foda-vaginalt-eller-med-kejsarsnitt-vilket-skulle-du-valt","35.77","http://www.familjeliv.se/forum/thread/55480670-om-du-sjalv-fick-valja-mellan-att-foda-vaginalt-eller-med-kejsarsnitt-vilket-skulle-du-valt/90#anchor-m899"
"Familjeliv: Allmänna rubriker – Familjeliv.se","36044586","Alltså för att vara ärlig så är det rätt","ångestfyllt","och tungt .","8","0.55","Jobba på äldreboende som extrajobb, Hur är det?","|Extreme_point:130.232|Visiting:51.223|Cooking_creation:50.828|","68.27","2019-09-21 21:41:11","Anonym (Undersköterska)","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|oansenlighet:34.454|själviskhet:33.193|blindhet:31.583|","2021-06-24 19:14:01","http://www.familjeliv.se/forum/thread/79897127-jobba-pa-aldreboende-som-extrajobb-hur-ar-det","39.02","http://www.familjeliv.se/forum/thread/79897127-jobba-pa-aldreboende-som-extrajobb-hur-ar-det/1#anchor-m3"
"Familjeliv: Allmänna rubriker – Familjeliv.se","36966665","Jag tycker sånt där kan vara så himla","ångestfyllt","!","99","0.45","När gråter du?","|Sending:88.261|Type:43.649|Travel:21.506|","59.39","2006-06-14 00:16:34","Kebnekaisa","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|missledning:94.738|oegentlighet:50.6|domstol:25.284|","2006-06-16 08:44:08","http://www.familjeliv.se/forum/thread/10086329-nar-grater-du","21.55","http://www.familjeliv.se/forum/thread/10086329-nar-grater-du/9#anchor-m82"
"Familjeliv: Allmänna rubriker – Familjeliv.se","37133486","En massa jobbigt","ångestfyllt","som man var tvungen att prata med tillsammans med tre människor som jag sällan pratade om viktiga saker med annars .","43","0.88","Tårar under utvecklingssamtal","|Being_up_to_it:641.484|Predicament:234.796|Contacting:41.375|","58.37","2010-10-28 23:45:02","Thaleya","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|äktenskapsskillnad:90.007|talträngdhet:73.643|mångordighet:65.511|","2010-11-02 00:26:19","http://www.familjeliv.se/forum/thread/55309728-tarar-under-utvecklingssamtal","31.83","http://www.familjeliv.se/forum/thread/55309728-tarar-under-utvecklingssamtal/3#anchor-m27"
"Familjeliv: Allmänna rubriker – Familjeliv.se","37482596","Men då krävs det ju att det finns någonstans i hjärnan också ... Hemtentor så spårar jag alltid ur på och satsar för hårt och jag blir aldrig nöjd och arbetar sönder det ,","ångestfyllda","dagar på hög nivå .","15","0.61","Tentaångest!!!","|Studying:105.721|Emotions_by_stimulus:64.868|Cotheme:43.666|","69.31","2011-01-06 10:38:56","MrsMurphy","Familjeliv.se > Övrigt","http://www.familjeliv.se/forum/20/172","|tilltäppningsmedel:68.329|hjärtlöshet:16.682|osmaklighet:14.43|","2011-01-06 10:52:11","http://www.familjeliv.se/forum/thread/56478123-tentaangest","34.33","http://www.familjeliv.se/forum/thread/56478123-tentaangest/1#anchor-m9"
